Feature 0:
X = 940038.665300, Y = 2160833.832907
X = 939210.203322, Y = 2158991.956257
X = 937462.402190, Y = 2156911.134358
X = 933236.053397, Y = 2153701.042138
X = 932536.593615, Y = 2152864.950947
X = 931185.379377, Y = 2151877.919000
X = 930477.880903, Y = 2151102.692805
X = 930081.872359, Y = 2151005.246339
X = 928271.580571, Y = 2149587.788498
X = 927481.604384, Y = 2148214.941947
X = 927022.904593, Y = 2148048.391604
X = 925477.239537, Y = 2146285.493155
X = 924466.688634, Y = 2145259.756132
X = 922810.774263, Y = 2144070.101881
X = 921099.492770, Y = 2143319.430010
X = 920040.768795, Y = 2142692.353926
X = 919283.392606, Y = 2141815.043196
X = 917215.183486, Y = 2140921.182032
X = 914379.023986, Y = 2140720.903260
X = 913565.888676, Y = 2140302.972940
X = 913279.968859, Y = 2139592.427358
X = 912573.249863, Y = 2138730.182675
X = 910758.408243, Y = 2137978.328894
X = 909953.009057, Y = 2137208.770124
X = 908534.762552, Y = 2136533.814119
X = 908138.437535, Y = 2135861.545103
X = 906724.594744, Y = 2136134.539735
X = 905297.309663, Y = 2135859.046028
X = 905007.567519, Y = 2135013.249675
X = 902272.931654, Y = 2134553.336025
X = 901759.543633, Y = 2134805.995936
X = 901256.722473, Y = 2134287.269368
X = 900802.480080, Y = 2134189.286467
X = 900398.335111, Y = 2134444.384073
X = 899333.084359, Y = 2134069.057225
X = 898462.315771, Y = 2134205.684542
X = 895045.813747, Y = 2135545.906495
X = 894140.885231, Y = 2135485.701063
X = 893328.086585, Y = 2135623.804945
X = 892763.054884, Y = 2135300.285420
X = 892521.110098, Y = 2134895.757885
X = 891958.855162, Y = 2135039.322569
X = 890083.681980, Y = 2134667.467124
X = 889131.247148, Y = 2133821.440589
X = 888680.509995, Y = 2133256.872870
X = 887388.066915, Y = 2131767.568518
X = 885471.993978, Y = 2130576.534677
X = 884368.717253, Y = 2128935.875099
X = 882958.142012, Y = 2127837.039244
X = 880743.912353, Y = 2127039.663722
X = 879837.478846, Y = 2126107.272768
X = 877550.048207, Y = 2125728.378291
X = 876757.974307, Y = 2124852.675763
X = 875753.451437, Y = 2123986.198969
X = 874496.090673, Y = 2122586.830758
X = 873650.883172, Y = 2121148.607764
X = 872741.991929, Y = 2120622.637015
X = 871833.318386, Y = 2120401.215627
X = 870874.168985, Y = 2120449.478698
X = 870359.775932, Y = 2120127.842559
X = 869396.379848, Y = 2120067.838231
X = 867687.278597, Y = 2119032.144594
X = 867854.626225, Y = 2118061.167995
X = 866943.073313, Y = 2117332.508383
X = 866486.623154, Y = 2117323.405024
X = 865729.526693, Y = 2116909.136641
X = 865189.944109, Y = 2115903.818583
X = 864440.795149, Y = 2114759.060750
X = 863780.280917, Y = 2114658.042030
X = 863234.110015, Y = 2113977.444059
X = 862981.765644, Y = 2109804.753826
X = 862478.625283, Y = 2108888.259931
X = 860716.674343, Y = 2107520.937066
X = 860528.893409, Y = 2106921.902354
X = 860538.974091, Y = 2105744.891025
X = 859688.585456, Y = 2105132.969931
X = 859786.928168, Y = 2104708.655516
X = 858898.767247, Y = 2103385.680042
X = 858748.268071, Y = 2102516.790518
X = 858294.859072, Y = 2102000.612472
X = 858405.515263, Y = 2101603.594677
X = 857850.860715, Y = 2101329.029155
X = 856983.635458, Y = 2101576.154294
X = 856175.577033, Y = 2101425.303860
X = 856222.236798, Y = 2101006.755980
X = 855840.692957, Y = 2099423.137238
X = 855384.144950, Y = 2099062.598908
X = 854983.131118, Y = 2099163.166215
